PLANNING AREA,SUBZONE,Age,Sex,Population
TOTAL,TOTAL,Total,Total,4180870 
TOTAL,TOTAL,Total,Males,2034960 
TOTAL,TOTAL,Total,Females,2145900 
TOTAL,TOTAL,0 ,Total,29250 
TOTAL,TOTAL,0 ,Males,14970 
TOTAL,TOTAL,0 ,Females,14280 
TOTAL,TOTAL,1 ,Total,32080 
TOTAL,TOTAL,1 ,Males,16590 
TOTAL,TOTAL,1 ,Females,15490 
TOTAL,TOTAL,2 ,Total,35020 
TOTAL,TOTAL,2 ,Males,17910 
TOTAL,TOTAL,2 ,Females,17110 
TOTAL,TOTAL,3 ,Total,35390 
TOTAL,TOTAL,3 ,Males,18100 
TOTAL,TOTAL,3 ,Females,17290 
TOTAL,TOTAL,4 ,Total,38760 
TOTAL,TOTAL,4 ,Males,19800 
TOTAL,TOTAL,4 ,Females,18960 
TOTAL,TOTAL,5 ,Total,38570 
TOTAL,TOTAL,5 ,Males,19590 
TOTAL,TOTAL,5 ,Females,18980 
TOTAL,TOTAL,6 ,Total,39020 
TOTAL,TOTAL,6 ,Males,20000 
TOTAL,TOTAL,6 ,Females,19020 
TOTAL,TOTAL,7 ,Total,40210 
TOTAL,TOTAL,7 ,Males,20560 
TOTAL,TOTAL,7 ,Females,19650 
TOTAL,TOTAL,8 ,Total,41940 
TOTAL,TOTAL,8 ,Males,21520 
TOTAL,TOTAL,8 ,Females,20420 
TOTAL,TOTAL,9 ,Total,42340 
TOTAL,TOTAL,9 ,Males,21620 
TOTAL,TOTAL,9 ,Females,20720 
TOTAL,TOTAL,10 ,Total,40560 
TOTAL,TOTAL,10 ,Males,20660 
TOTAL,TOTAL,10 ,Females,19900 
TOTAL,TOTAL,11 ,Total,42270 
TOTAL,TOTAL,11 ,Males,21810 
TOTAL,TOTAL,11 ,Females,20470 
TOTAL,TOTAL,12 ,Total,41340 
TOTAL,TOTAL,12 ,Males,21050 
TOTAL,TOTAL,12 ,Females,20290 
TOTAL,TOTAL,13 ,Total,39120 
TOTAL,TOTAL,13 ,Males,19940 
TOTAL,TOTAL,13 ,Females,19180 
TOTAL,TOTAL,14 ,Total,41110 
TOTAL,TOTAL,14 ,Males,20800 
TOTAL,TOTAL,14 ,Females,20300 
TOTAL,TOTAL,15 ,Total,42080 
TOTAL,TOTAL,15 ,Males,21430 
TOTAL,TOTAL,15 ,Females,20650 
TOTAL,TOTAL,16 ,Total,43610 
TOTAL,TOTAL,16 ,Males,22020 
TOTAL,TOTAL,16 ,Females,21590 
TOTAL,TOTAL,17 ,Total,41950 
TOTAL,TOTAL,17 ,Males,21460 
TOTAL,TOTAL,17 ,Females,20500 
TOTAL,TOTAL,18 ,Total,41810 
TOTAL,TOTAL,18 ,Males,21260 
TOTAL,TOTAL,18 ,Females,20550 
TOTAL,TOTAL,19 ,Total,41610 
TOTAL,TOTAL,19 ,Males,21090 
TOTAL,TOTAL,19 ,Females,20520 
TOTAL,TOTAL,20 ,Total,41200 
TOTAL,TOTAL,20 ,Males,20990 
TOTAL,TOTAL,20 ,Females,20220 
TOTAL,TOTAL,21 ,Total,43080 
TOTAL,TOTAL,21 ,Males,21780 
TOTAL,TOTAL,21 ,Females,21300 
TOTAL,TOTAL,22 ,Total,43550 
TOTAL,TOTAL,22 ,Males,22250 
TOTAL,TOTAL,22 ,Females,21300 
TOTAL,TOTAL,23 ,Total,48690 
TOTAL,TOTAL,23 ,Males,24860 
TOTAL,TOTAL,23 ,Females,23840 
TOTAL,TOTAL,24 ,Total,48120 
TOTAL,TOTAL,24 ,Males,24540 
TOTAL,TOTAL,24 ,Females,23580 
TOTAL,TOTAL,25 ,Total,47080 
TOTAL,TOTAL,25 ,Males,24020 
TOTAL,TOTAL,25 ,Females,23060 
TOTAL,TOTAL,26 ,Total,51710 
TOTAL,TOTAL,26 ,Males,25970 
TOTAL,TOTAL,26 ,Females,25740 
TOTAL,TOTAL,27 ,Total,54210 
TOTAL,TOTAL,27 ,Males,27160 
TOTAL,TOTAL,27 ,Females,27060 
TOTAL,TOTAL,28 ,Total,57200 
TOTAL,TOTAL,28 ,Males,28350 
TOTAL,TOTAL,28 ,Females,28840 
TOTAL,TOTAL,29 ,Total,59340 
TOTAL,TOTAL,29 ,Males,29330 
TOTAL,TOTAL,29 ,Females,30000 
TOTAL,TOTAL,30 ,Total,62110 
TOTAL,TOTAL,30 ,Males,30390 
TOTAL,TOTAL,30 ,Females,31710 
TOTAL,TOTAL,31 ,Total,63100 
TOTAL,TOTAL,31 ,Males,30840 
TOTAL,TOTAL,31 ,Females,32260 
TOTAL,TOTAL,32 ,Total,63390 
TOTAL,TOTAL,32 ,Males,30390 
TOTAL,TOTAL,32 ,Females,33000 
TOTAL,TOTAL,33 ,Total,67070 
TOTAL,TOTAL,33 ,Males,32410 
TOTAL,TOTAL,33 ,Females,34660 
TOTAL,TOTAL,34 ,Total,64820 
TOTAL,TOTAL,34 ,Males,31150 
TOTAL,TOTAL,34 ,Females,33680 
TOTAL,TOTAL,35 ,Total,70470 
TOTAL,TOTAL,35 ,Males,33630 
TOTAL,TOTAL,35 ,Females,36850 
TOTAL,TOTAL,36 ,Total,65250 
TOTAL,TOTAL,36 ,Males,30960 
TOTAL,TOTAL,36 ,Females,34290 
TOTAL,TOTAL,37 ,Total,57590 
TOTAL,TOTAL,37 ,Males,27010 
TOTAL,TOTAL,37 ,Females,30580 
TOTAL,TOTAL,38 ,Total,59440 
TOTAL,TOTAL,38 ,Males,28140 
TOTAL,TOTAL,38 ,Females,31300 
TOTAL,TOTAL,39 ,Total,61830 
TOTAL,TOTAL,39 ,Males,29060 
TOTAL,TOTAL,39 ,Females,32770 
TOTAL,TOTAL,40 ,Total,59870 
TOTAL,TOTAL,40 ,Males,28070 
TOTAL,TOTAL,40 ,Females,31800 
TOTAL,TOTAL,41 ,Total,63450 
TOTAL,TOTAL,41 ,Males,29850 
TOTAL,TOTAL,41 ,Females,33600 
TOTAL,TOTAL,42 ,Total,63390 
TOTAL,TOTAL,42 ,Males,30030 
TOTAL,TOTAL,42 ,Females,33360 
TOTAL,TOTAL,43 ,Total,62470 
TOTAL,TOTAL,43 ,Males,29420 
TOTAL,TOTAL,43 ,Females,33050 
TOTAL,TOTAL,44 ,Total,61090 
TOTAL,TOTAL,44 ,Males,29040 
TOTAL,TOTAL,44 ,Females,32050 
TOTAL,TOTAL,45 ,Total,61140 
TOTAL,TOTAL,45 ,Males,28880 
TOTAL,TOTAL,45 ,Females,32260 
TOTAL,TOTAL,46 ,Total,58670 
TOTAL,TOTAL,46 ,Males,27870 
TOTAL,TOTAL,46 ,Females,30800 
TOTAL,TOTAL,47 ,Total,61960 
TOTAL,TOTAL,47 ,Males,29620 
TOTAL,TOTAL,47 ,Females,32340 
TOTAL,TOTAL,48 ,Total,59470 
TOTAL,TOTAL,48 ,Males,28520 
TOTAL,TOTAL,48 ,Females,30960 
TOTAL,TOTAL,49 ,Total,59990 
TOTAL,TOTAL,49 ,Males,28980 
TOTAL,TOTAL,49 ,Females,31010 
TOTAL,TOTAL,50 ,Total,62350 
TOTAL,TOTAL,50 ,Males,30070 
TOTAL,TOTAL,50 ,Females,32280 
TOTAL,TOTAL,51 ,Total,64760 
TOTAL,TOTAL,51 ,Males,31580 
TOTAL,TOTAL,51 ,Females,33180 
TOTAL,TOTAL,52 ,Total,62270 
TOTAL,TOTAL,52 ,Males,30330 
TOTAL,TOTAL,52 ,Females,31940 
TOTAL,TOTAL,53 ,Total,60810 
TOTAL,TOTAL,53 ,Males,29470 
TOTAL,TOTAL,53 ,Females,31340 
TOTAL,TOTAL,54 ,Total,57150 
TOTAL,TOTAL,54 ,Males,27620 
TOTAL,TOTAL,54 ,Females,29530 
TOTAL,TOTAL,55 ,Total,56740 
TOTAL,TOTAL,55 ,Males,27280 
TOTAL,TOTAL,55 ,Females,29460 
TOTAL,TOTAL,56 ,Total,58450 
TOTAL,TOTAL,56 ,Males,28740 
TOTAL,TOTAL,56 ,Females,29710 
TOTAL,TOTAL,57 ,Total,58100 
TOTAL,TOTAL,57 ,Males,28620 
TOTAL,TOTAL,57 ,Females,29480 
TOTAL,TOTAL,58 ,Total,61000 
TOTAL,TOTAL,58 ,Males,30220 
TOTAL,TOTAL,58 ,Females,30780 
TOTAL,TOTAL,59 ,Total,59940 
TOTAL,TOTAL,59 ,Males,29810 
TOTAL,TOTAL,59 ,Females,30140 
TOTAL,TOTAL,60 ,Total,61600 
TOTAL,TOTAL,60 ,Males,30570 
TOTAL,TOTAL,60 ,Females,31030 
TOTAL,TOTAL,61 ,Total,60020 
TOTAL,TOTAL,61 ,Males,29760 
TOTAL,TOTAL,61 ,Females,30260 
TOTAL,TOTAL,62 ,Total,58670 
TOTAL,TOTAL,62 ,Males,29110 
TOTAL,TOTAL,62 ,Females,29560 
TOTAL,TOTAL,63 ,Total,58510 
TOTAL,TOTAL,63 ,Males,29140 
TOTAL,TOTAL,63 ,Females,29370 
TOTAL,TOTAL,64 ,Total,57850 
TOTAL,TOTAL,64 ,Males,28640 
TOTAL,TOTAL,64 ,Females,29200 
TOTAL,TOTAL,65 ,Total,56950 
TOTAL,TOTAL,65 ,Males,28220 
TOTAL,TOTAL,65 ,Females,28730 
TOTAL,TOTAL,66 ,Total,55090 
TOTAL,TOTAL,66 ,Males,27030 
TOTAL,TOTAL,66 ,Females,28060 
TOTAL,TOTAL,67 ,Total,53960 
TOTAL,TOTAL,67 ,Males,26390 
TOTAL,TOTAL,67 ,Females,27570 
TOTAL,TOTAL,68 ,Total,51440 
TOTAL,TOTAL,68 ,Males,25040 
TOTAL,TOTAL,68 ,Females,26400 
TOTAL,TOTAL,69 ,Total,48730 
TOTAL,TOTAL,69 ,Males,23550 
TOTAL,TOTAL,69 ,Females,25180 
TOTAL,TOTAL,70 ,Total,47110 
TOTAL,TOTAL,70 ,Males,23050 
TOTAL,TOTAL,70 ,Females,24060 
TOTAL,TOTAL,71 ,Total,43470 
TOTAL,TOTAL,71 ,Males,21090 
TOTAL,TOTAL,71 ,Females,22380 
TOTAL,TOTAL,72 ,Total,40750 
TOTAL,TOTAL,72 ,Males,19430 
TOTAL,TOTAL,72 ,Females,21320 
TOTAL,TOTAL,73 ,Total,37810 
TOTAL,TOTAL,73 ,Males,18050 
TOTAL,TOTAL,73 ,Females,19760 
TOTAL,TOTAL,74 ,Total,37380 
TOTAL,TOTAL,74 ,Males,17640 
TOTAL,TOTAL,74 ,Females,19740 
TOTAL,TOTAL,75 ,Total,35250 
TOTAL,TOTAL,75 ,Males,16580 
TOTAL,TOTAL,75 ,Females,18660 
TOTAL,TOTAL,76 ,Total,32420 
TOTAL,TOTAL,76 ,Males,14880 
TOTAL,TOTAL,76 ,Females,17530 
TOTAL,TOTAL,77 ,Total,31280 
TOTAL,TOTAL,77 ,Males,14240 
TOTAL,TOTAL,77 ,Females,17040 
TOTAL,TOTAL,78 ,Total,20400 
TOTAL,TOTAL,78 ,Males,9240 
TOTAL,TOTAL,78 ,Females,11170 
TOTAL,TOTAL,79 ,Total,15270 
TOTAL,TOTAL,79 ,Males,6760 
TOTAL,TOTAL,79 ,Females,8510 
TOTAL,TOTAL,80 ,Total,18260 
TOTAL,TOTAL,80 ,Males,8050 
TOTAL,TOTAL,80 ,Females,10200 
TOTAL,TOTAL,81 ,Total,14950 
TOTAL,TOTAL,81 ,Males,6520 
TOTAL,TOTAL,81 ,Females,8430 
TOTAL,TOTAL,82 ,Total,14290 
TOTAL,TOTAL,82 ,Males,5860 
TOTAL,TOTAL,82 ,Females,8430 
TOTAL,TOTAL,83 ,Total,15630 
TOTAL,TOTAL,83 ,Males,6400 
TOTAL,TOTAL,83 ,Females,9230 
TOTAL,TOTAL,84 ,Total,14420 
TOTAL,TOTAL,84 ,Males,5760 
TOTAL,TOTAL,84 ,Females,8660 
TOTAL,TOTAL,85 ,Total,12930 
TOTAL,TOTAL,85 ,Males,5010 
TOTAL,TOTAL,85 ,Females,7920 
TOTAL,TOTAL,86 ,Total,9790 
TOTAL,TOTAL,86 ,Males,3890 
TOTAL,TOTAL,86 ,Females,5910 
TOTAL,TOTAL,87 ,Total,7380 
TOTAL,TOTAL,87 ,Males,2880 
TOTAL,TOTAL,87 ,Females,4500 
TOTAL,TOTAL,88 ,Total,6870 
TOTAL,TOTAL,88 ,Males,2560 
TOTAL,TOTAL,88 ,Females,4310 
TOTAL,TOTAL,89 ,Total,6940 
TOTAL,TOTAL,89 ,Males,2450 
TOTAL,TOTAL,89 ,Females,4490 
TOTAL,TOTAL,90 & Over,Total,25160 
TOTAL,TOTAL,90 & Over,Males,7770 
TOTAL,TOTAL,90 & Over,Females,17390 
ANG MO KIO,TOTAL,Total,Total,159340 
ANG MO KIO,TOTAL,Total,Males,75600 
ANG MO KIO,TOTAL,Total,Females,83740 
ANG MO KIO,TOTAL,0 ,Total,810 
ANG MO KIO,TOTAL,0 ,Males,410 
ANG MO KIO,TOTAL,0 ,Females,410 
ANG MO KIO,TOTAL,1 ,Total,840 
ANG MO KIO,TOTAL,1 ,Males,430 
ANG MO KIO,TOTAL,1 ,Females,400 
ANG MO KIO,TOTAL,2 ,Total,850 
ANG MO KIO,TOTAL,2 ,Males,420 
ANG MO KIO,TOTAL,2 ,Females,420 
ANG MO KIO,TOTAL,3 ,Total,910 
ANG MO KIO,TOTAL,3 ,Males,460 
ANG MO KIO,TOTAL,3 ,Females,450 
ANG MO KIO,TOTAL,4 ,Total,1030 
ANG MO KIO,TOTAL,4 ,Males,530 
ANG MO KIO,TOTAL,4 ,Females,500 
ANG MO KIO,TOTAL,5 ,Total,1040 
ANG MO KIO,TOTAL,5 ,Males,530 
ANG MO KIO,TOTAL,5 ,Females,510 
ANG MO KIO,TOTAL,6 ,Total,1130 
ANG MO KIO,TOTAL,6 ,Males,530 
ANG MO KIO,TOTAL,6 ,Females,610 
ANG MO KIO,TOTAL,7 ,Total,1190 
ANG MO KIO,TOTAL,7 ,Males,590 
ANG MO KIO,TOTAL,7 ,Females,600 
ANG MO KIO,TOTAL,8 ,Total,1250 
ANG MO KIO,TOTAL,8 ,Males,600 
ANG MO KIO,TOTAL,8 ,Females,650 
ANG MO KIO,TOTAL,9 ,Total,1270 
ANG MO KIO,TOTAL,9 ,Males,670 
ANG MO KIO,TOTAL,9 ,Females,610 
ANG MO KIO,TOTAL,10 ,Total,1220 
ANG MO KIO,TOTAL,10 ,Males,580 
ANG MO KIO,TOTAL,10 ,Females,640 
ANG MO KIO,TOTAL,11 ,Total,1350 
ANG MO KIO,TOTAL,11 ,Males,680 
ANG MO KIO,TOTAL,11 ,Females,670 
ANG MO KIO,TOTAL,12 ,Total,1330 
ANG MO KIO,TOTAL,12 ,Males,680 
ANG MO KIO,TOTAL,12 ,Females,650 
ANG MO KIO,TOTAL,13 ,Total,1260 
ANG MO KIO,TOTAL,13 ,Males,640 
ANG MO KIO,TOTAL,13 ,Females,630 
ANG MO KIO,TOTAL,14 ,Total,1270 
ANG MO KIO,TOTAL,14 ,Males,640 
ANG MO KIO,TOTAL,14 ,Females,630 
ANG MO KIO,TOTAL,15 ,Total,1450 
ANG MO KIO,TOTAL,15 ,Males,710 
ANG MO KIO,TOTAL,15 ,Females,740 
ANG MO KIO,TOTAL,16 ,Total,1440 
ANG MO KIO,TOTAL,16 ,Males,730 
ANG MO KIO,TOTAL,16 ,Females,710 
ANG MO KIO,TOTAL,17 ,Total,1450 
ANG MO KIO,TOTAL,17 ,Males,730 
ANG MO KIO,TOTAL,17 ,Females,720 
ANG MO KIO,TOTAL,18 ,Total,1500 
ANG MO KIO,TOTAL,18 ,Males,800 
ANG MO KIO,TOTAL,18 ,Females,700 
ANG MO KIO,TOTAL,19 ,Total,1500 
ANG MO KIO,TOTAL,19 ,Males,750 
ANG MO KIO,TOTAL,19 ,Females,750 
ANG MO KIO,TOTAL,20 ,Total,1410 
ANG MO KIO,TOTAL,20 ,Males,700 
ANG MO KIO,TOTAL,20 ,Females,700 
ANG MO KIO,TOTAL,21 ,Total,1500 
ANG MO KIO,TOTAL,21 ,Males,790 
ANG MO KIO,TOTAL,21 ,Females,710 
ANG MO KIO,TOTAL,22 ,Total,1520 
ANG MO KIO,TOTAL,22 ,Males,780 
ANG MO KIO,TOTAL,22 ,Females,740 
ANG MO KIO,TOTAL,23 ,Total,1710 
ANG MO KIO,TOTAL,23 ,Males,880 
ANG MO KIO,TOTAL,23 ,Females,830 
ANG MO KIO,TOTAL,24 ,Total,1720 
ANG MO KIO,TOTAL,24 ,Males,870 
ANG MO KIO,TOTAL,24 ,Females,850 
ANG MO KIO,TOTAL,25 ,Total,1680 
ANG MO KIO,TOTAL,25 ,Males,890 
ANG MO KIO,TOTAL,25 ,Females,790 
ANG MO KIO,TOTAL,26 ,Total,1750 
ANG MO KIO,TOTAL,26 ,Males,890 
ANG MO KIO,TOTAL,26 ,Females,860 
ANG MO KIO,TOTAL,27 ,Total,1890 
ANG MO KIO,TOTAL,27 ,Males,950 
ANG MO KIO,TOTAL,27 ,Females,940 
ANG MO KIO,TOTAL,28 ,Total,1960 
ANG MO KIO,TOTAL,28 ,Males,980 
ANG MO KIO,TOTAL,28 ,Females,980 
ANG MO KIO,TOTAL,29 ,Total,1960 
ANG MO KIO,TOTAL,29 ,Males,1000 
ANG MO KIO,TOTAL,29 ,Females,960 
ANG MO KIO,TOTAL,30 ,Total,2140 
ANG MO KIO,TOTAL,30 ,Males,1060 
ANG MO KIO,TOTAL,30 ,Females,1080 
ANG MO KIO,TOTAL,31 ,Total,2010 
ANG MO KIO,TOTAL,31 ,Males,980 
ANG MO KIO,TOTAL,31 ,Females,1030 
ANG MO KIO,TOTAL,32 ,Total,2100 
ANG MO KIO,TOTAL,32 ,Males,1020 
ANG MO KIO,TOTAL,32 ,Females,1080 
ANG MO KIO,TOTAL,33 ,Total,2030 
ANG MO KIO,TOTAL,33 ,Males,980 
ANG MO KIO,TOTAL,33 ,Females,1040 
ANG MO KIO,TOTAL,34 ,Total,2000 
ANG MO KIO,TOTAL,34 ,Males,930 
ANG MO KIO,TOTAL,34 ,Females,1070 
ANG MO KIO,TOTAL,35 ,Total,2200 
ANG MO KIO,TOTAL,35 ,Males,1050 
ANG MO KIO,TOTAL,35 ,Females,1160 
ANG MO KIO,TOTAL,36 ,Total,1970 
ANG MO KIO,TOTAL,36 ,Males,900 
ANG MO KIO,TOTAL,36 ,Females,1070 
ANG MO KIO,TOTAL,37 ,Total,1730 
ANG MO KIO,TOTAL,37 ,Males,820 
ANG MO KIO,TOTAL,37 ,Females,920 
ANG MO KIO,TOTAL,38 ,Total,1860 
ANG MO KIO,TOTAL,38 ,Males,840 
ANG MO KIO,TOTAL,38 ,Females,1020 
ANG MO KIO,TOTAL,39 ,Total,1850 
ANG MO KIO,TOTAL,39 ,Males,870 
ANG MO KIO,TOTAL,39 ,Females,980 
ANG MO KIO,TOTAL,40 ,Total,1960 
ANG MO KIO,TOTAL,40 ,Males,870 
ANG MO KIO,TOTAL,40 ,Females,1100 
ANG MO KIO,TOTAL,41 ,Total,2070 
ANG MO KIO,TOTAL,41 ,Males,920 
ANG MO KIO,TOTAL,41 ,Females,1150 
ANG MO KIO,TOTAL,42 ,Total,2170 
ANG MO KIO,TOTAL,42 ,Males,1010 
ANG MO KIO,TOTAL,42 ,Females,1170 
ANG MO KIO,TOTAL,43 ,Total,2280 
ANG MO KIO,TOTAL,43 ,Males,1050 
ANG MO KIO,TOTAL,43 ,Females,1230 
ANG MO KIO,TOTAL,44 ,Total,2220 
ANG MO KIO,TOTAL,44 ,Males,1040 
ANG MO KIO,TOTAL,44 ,Females,1180 
ANG MO KIO,TOTAL,45 ,Total,2270 
ANG MO KIO,TOTAL,45 ,Males,1080 
ANG MO KIO,TOTAL,45 ,Females,1190 
ANG MO KIO,TOTAL,46 ,Total,2150 
ANG MO KIO,TOTAL,46 ,Males,980 
ANG MO KIO,TOTAL,46 ,Females,1170 
ANG MO KIO,TOTAL,47 ,Total,2270 
ANG MO KIO,TOTAL,47 ,Males,1090 
ANG MO KIO,TOTAL,47 ,Females,1180 
ANG MO KIO,TOTAL,48 ,Total,2220 
ANG MO KIO,TOTAL,48 ,Males,990 
ANG MO KIO,TOTAL,48 ,Females,1220 
ANG MO KIO,TOTAL,49 ,Total,2320 
ANG MO KIO,TOTAL,49 ,Males,1100 
ANG MO KIO,TOTAL,49 ,Females,1220 
ANG MO KIO,TOTAL,50 ,Total,2410 
ANG MO KIO,TOTAL,50 ,Males,1140 
ANG MO KIO,TOTAL,50 ,Females,1280 
ANG MO KIO,TOTAL,51 ,Total,2580 
ANG MO KIO,TOTAL,51 ,Males,1190 
ANG MO KIO,TOTAL,51 ,Females,1400 
ANG MO KIO,TOTAL,52 ,Total,2370 
ANG MO KIO,TOTAL,52 ,Males,1140 
ANG MO KIO,TOTAL,52 ,Females,1230 
ANG MO KIO,TOTAL,53 ,Total,2370 
ANG MO KIO,TOTAL,53 ,Males,1160 
ANG MO KIO,TOTAL,53 ,Females,1210 
ANG MO KIO,TOTAL,54 ,Total,2360 
ANG MO KIO,TOTAL,54 ,Males,1130 
ANG MO KIO,TOTAL,54 ,Females,1230 
ANG MO KIO,TOTAL,55 ,Total,2230 
ANG MO KIO,TOTAL,55 ,Males,1070 
ANG MO KIO,TOTAL,55 ,Females,1160 
ANG MO KIO,TOTAL,56 ,Total,2250 
ANG MO KIO,TOTAL,56 ,Males,1070 
ANG MO KIO,TOTAL,56 ,Females,1180 
ANG MO KIO,TOTAL,57 ,Total,2310 
ANG MO KIO,TOTAL,57 ,Males,1110 
ANG MO KIO,TOTAL,57 ,Females,1200 
ANG MO KIO,TOTAL,58 ,Total,2410 
ANG MO KIO,TOTAL,58 ,Males,1210 
ANG MO KIO,TOTAL,58 ,Females,1200 
ANG MO KIO,TOTAL,59 ,Total,2460 
ANG MO KIO,TOTAL,59 ,Males,1150 
ANG MO KIO,TOTAL,59 ,Females,1310 
ANG MO KIO,TOTAL,60 ,Total,2480 
ANG MO KIO,TOTAL,60 ,Males,1210 
ANG MO KIO,TOTAL,60 ,Females,1260 
ANG MO KIO,TOTAL,61 ,Total,2500 
ANG MO KIO,TOTAL,61 ,Males,1200 
ANG MO KIO,TOTAL,61 ,Females,1300 
ANG MO KIO,TOTAL,62 ,Total,2420 
ANG MO KIO,TOTAL,62 ,Males,1230 
ANG MO KIO,TOTAL,62 ,Females,1190 
ANG MO KIO,TOTAL,63 ,Total,2440 
ANG MO KIO,TOTAL,63 ,Males,1240 
ANG MO KIO,TOTAL,63 ,Females,1200 
ANG MO KIO,TOTAL,64 ,Total,2510 
ANG MO KIO,TOTAL,64 ,Males,1240 
ANG MO KIO,TOTAL,64 ,Females,1270 
ANG MO KIO,TOTAL,65 ,Total,2440 
ANG MO KIO,TOTAL,65 ,Males,1200 
ANG MO KIO,TOTAL,65 ,Females,1240 
ANG MO KIO,TOTAL,66 ,Total,2410 
ANG MO KIO,TOTAL,66 ,Males,1110 
ANG MO KIO,TOTAL,66 ,Females,1300 
ANG MO KIO,TOTAL,67 ,Total,2470 
ANG MO KIO,TOTAL,67 ,Males,1130 
ANG MO KIO,TOTAL,67 ,Females,1340 
ANG MO KIO,TOTAL,68 ,Total,2380 
ANG MO KIO,TOTAL,68 ,Males,1050 
ANG MO KIO,TOTAL,68 ,Females,1330 
ANG MO KIO,TOTAL,69 ,Total,2320 
ANG MO KIO,TOTAL,69 ,Males,1060 
ANG MO KIO,TOTAL,69 ,Females,1270 
ANG MO KIO,TOTAL,70 ,Total,2330 
ANG MO KIO,TOTAL,70 ,Males,1050 
ANG MO KIO,TOTAL,70 ,Females,1280 
ANG MO KIO,TOTAL,71 ,Total,2310 
ANG MO KIO,TOTAL,71 ,Males,1060 
ANG MO KIO,TOTAL,71 ,Females,1250 
ANG MO KIO,TOTAL,72 ,Total,2230 
ANG MO KIO,TOTAL,72 ,Males,1000 
ANG MO KIO,TOTAL,72 ,Females,1230 
ANG MO KIO,TOTAL,73 ,Total,2150 
ANG MO KIO,TOTAL,73 ,Males,950 
ANG MO KIO,TOTAL,73 ,Females,1200 
ANG MO KIO,TOTAL,74 ,Total,2050 
ANG MO KIO,TOTAL,74 ,Males,920 
ANG MO KIO,TOTAL,74 ,Females,1130 
ANG MO KIO,TOTAL,75 ,Total,2020 
ANG MO KIO,TOTAL,75 ,Males,970 
ANG MO KIO,TOTAL,75 ,Females,1050 
ANG MO KIO,TOTAL,76 ,Total,1850 
ANG MO KIO,TOTAL,76 ,Males,820 
ANG MO KIO,TOTAL,76 ,Females,1030 
ANG MO KIO,TOTAL,77 ,Total,1910 
ANG MO KIO,TOTAL,77 ,Males,820 
ANG MO KIO,TOTAL,77 ,Females,1080 
ANG MO KIO,TOTAL,78 ,Total,1250 
ANG MO KIO,TOTAL,78 ,Males,540 
ANG MO KIO,TOTAL,78 ,Females,710 
ANG MO KIO,TOTAL,79 ,Total,940 
ANG MO KIO,TOTAL,79 ,Males,410 
ANG MO KIO,TOTAL,79 ,Females,530 
ANG MO KIO,TOTAL,80 ,Total,1160 
ANG MO KIO,TOTAL,80 ,Males,520 
ANG MO KIO,TOTAL,80 ,Females,640 
ANG MO KIO,TOTAL,81 ,Total,970 
ANG MO KIO,TOTAL,81 ,Males,410 
ANG MO KIO,TOTAL,81 ,Females,560 
ANG MO KIO,TOTAL,82 ,Total,910 
ANG MO KIO,TOTAL,82 ,Males,360 
ANG MO KIO,TOTAL,82 ,Females,550 
ANG MO KIO,TOTAL,83 ,Total,1020 
ANG MO KIO,TOTAL,83 ,Males,430 
ANG MO KIO,TOTAL,83 ,Females,590 
ANG MO KIO,TOTAL,84 ,Total,960 
ANG MO KIO,TOTAL,84 ,Males,400 
ANG MO KIO,TOTAL,84 ,Females,560 
ANG MO KIO,TOTAL,85 ,Total,820 
ANG MO KIO,TOTAL,85 ,Males,320 
ANG MO KIO,TOTAL,85 ,Females,500 
ANG MO KIO,TOTAL,86 ,Total,580 
ANG MO KIO,TOTAL,86 ,Males,240 
ANG MO KIO,TOTAL,86 ,Females,350 
ANG MO KIO,TOTAL,87 ,Total,450 
ANG MO KIO,TOTAL,87 ,Males,190 
ANG MO KIO,TOTAL,87 ,Females,260 
ANG MO KIO,TOTAL,88 ,Total,410 
ANG MO KIO,TOTAL,88 ,Males,170 
ANG MO KIO,TOTAL,88 ,Females,240 
ANG MO KIO,TOTAL,89 ,Total,440 
ANG MO KIO,TOTAL,89 ,Males,160 
ANG MO KIO,TOTAL,89 ,Females,280 
ANG MO KIO,TOTAL,90 & Over,Total,1520 
ANG MO KIO,TOTAL,90 & Over,Males,500 
ANG MO KIO,TOTAL,90 & Over,Females,1030 
ANG MO KIO,ANG MO KIO TOWN CENTRE,Total,Total,"4,850"
ANG MO KIO,ANG MO KIO TOWN CENTRE,Total,Males,"2,270"
ANG MO KIO,ANG MO KIO TOWN CENTRE,Total,Females,"2,590"
ANG MO KIO,ANG MO KIO TOWN CENTRE,0,Total,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,0,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,0,Females,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,1,Total,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,1,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,1,Females,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,2,Total,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,2,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,2,Females,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,3,Total,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,3,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,3,Females,10
